start	end	text
0	4320	Olá, gente!
4320	6760	Eu hoje estou aqui com a Loian Groner.
6760	9600	Loian, prazer enorme ter você aqui comigo.
9600	13760	Olá, pessoal. Eu agradeço o convite. O prazer é todo meu.
13760	19160	Loian, eu sempre pergunto para os meus convidados aqui como foi o comecinho da coisa para eles.
19160	24040	Como você se interessou por computação e tecnologia? Como isso apareceu na sua vida?
24040	28520	Foi durante a faculdade ou um pouquinho antes da faculdade.
28520	32920	Durante o ensino médio eu queria fazer direito. Então, nada a ver com tecnologia, né?
32920	38760	Só que vestibular, né? Você tem muitas coisas que você tem que decorar, principalmente para o vestibular.
38760	42720	Na área de humanas tem muita coisa que você precisa memorizar.
42720	48000	E eu não era muito fã de decorar várias datas com muitos detalhes.
48000	53240	Eu gosto bastante de história e da parte de geografia, pela história em si.
53280	58120	Mas não necessariamente saber, por exemplo, que Pedro Álvares Cabral chegou no Brasil na data tal,
58120	63760	vestindo tal, era casado com fulana, tinha tantos filhos, os filhos estavam vestindo tal roupa, sabe?
63760	66720	Esse nível de detalhe eu não era muito fã.
66720	71640	E eu sempre gostei muito também da área de matemática e física também.
71640	77640	E faltando seis meses para o vestibular eu decidi trocar por algum curso de exatas.
77640	82600	E a questão foi qual curso escolher. Porque eu já estava bem em cima da hora.
82640	86040	E naquela época a gente não tinha acesso a informação como a gente tem hoje, né?
86040	92960	A gente não tinha YouTube, né? A informação que a gente tinha era você pegar as faculdades,
92960	97840	ver a lista de cursos que você podia prestar para vestibular e escolher, né?
97840	103000	Você sabia o que era de exatas, se era da área de biomédicas, se era da área de humanas.
103000	109880	E a gente só tinha informação sobre as carreiras que na época eram as mais tradicionais, digamos assim, né?
109880	118040	A parte de medicina, farmácia, direito, história e da parte de exatas eram mais as engenharias,
118040	123240	engenharia mecânica, engenharia civil, que se falava mais na escola.
123240	129080	E não tinha muita informação sobre engenharia da computação ou ciência da computação.
129080	134840	E eu vi essas duas faculdades de computação e falei eu vou escolher uma dessas aí.
134840	138880	A escolha foi justamente por gostar de ficar no computador.
138880	142720	Eu vou fazer uma faculdade de ciência da computação porque eu gosto de ficar no computador,
142720	144960	então eu vou estudar o computador.
144960	149600	E o engraçado é que eu pensei na época que eu ia aprender a consertar computador.
149600	155520	Não aprendi até hoje, mas passei aí pela faculdade de ciência da computação.
155520	158920	E foi assim que eu consegui aí meu primeiro contato com a área.
158920	164840	Completamente inesperado, não sabia o que esperar da faculdade, o que que eu ia aprender na faculdade.
164840	168800	Não sabia o que que era algoritmos, nunca tinha ouvido falar.
168800	173880	Então assim, eu nunca tinha parado para pensar como é que de fato um computador funciona
173880	175920	e como que aqueles programas eram feitos.
175920	179360	Na minha cabeça era uma coisa meio que mágica, né?
179360	183160	Que alguém faz e do nada aparece esses programas assim.
183160	185640	Ou que já existia assim de alguma forma.
185640	190280	Mas enfim, foi assim que foi o meu primeiro contato aí com a parte de computação,
190280	193360	desse mundo aí de algoritmos e desenvolvimento.
193360	198480	Qual foi a faculdade e como é que foi a experiência da faculdade para você?
198520	203240	Olha, eu gostei muito, muito mesmo dos meus anos de faculdade.
